nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0375551,Lenka Hellstedt,\N,\N,"director,casting_department,writer","tt6591520,tt1145449,tt0294725,tt10768232"
nm0375604,Andrew Helm,\N,\N,"miscellaneous,writer,actor","tt0959086,tt1261046,tt1935075,tt2797190"
nm0375983,Ruud van Hemert,1938,2012,"director,writer,actor","tt0239060,tt0095319,tt0088050,tt0091466"
nm0376006,Anthony Hemingway,\N,\N,"producer,director,assistant_director","tt0485985,tt4522400,tt2788432,tt0306414"
nm0376179,David Hempstead,1909,1983,"producer,writer,production_department","tt0047073,tt0023187,tt0040705,tt0036363"
nm0376260,Chris Henchy,1964,\N,"producer,writer,actor","tt0457400,tt1386588,tt1790886,tt0387199"
nm0376801,Robert Hendrickson,1944,2016,"director,writer,producer","tt3619098,tt0068918,tt1540946,tt0090968"
nm0376963,Frank Henenlotter,1950,\N,"director,writer,editor","tt0094793,tt0974977,tt0099611,tt0083624"
nm0376992,Paul Hengge,1930,2015,"writer,director,script_department","tt0159086,tt0088811,tt0063979,tt0067696"
nm0377066,Kim Henkel,1946,\N,"writer,producer,actor","tt0110978,tt0072271,tt1572315,tt2620590"
nm0377107,Beth Henley,1952,\N,"writer,actress","tt0090886,tt0092117,tt0097892,tt0088213"
nm0377127,Jack Henley,1896,1958,writer,"tt0037317,tt0036306,tt0036203,tt0048328"
nm0377153,Granz Henman,\N,\N,"director,writer,actor","tt20256412,tt11541220,tt1390424,tt0295375"
nm0377194,Clarence Hennecke,1894,1969,"writer,actor,assistant_director","tt0017437,tt0026740,tt0018984,tt0018761"
nm0377417,Paul Henning,1911,2005,"writer,producer,music_department","tt0055662,tt0047752,tt1298644,tt0095031"
nm0377422,Rupert Henning,1967,\N,"writer,director,actor","tt0806910,tt0844457,tt0871862,tt9806222"
nm0377485,Robert Henny,\N,\N,"writer,actor,producer","tt4876134,tt0785077,tt0190374,tt27469056"
nm0377543,Richard P. Henrick,1949,\N,writer,"tt0112740,tt0281618"
nm0377750,Buck Henry,1930,2020,"writer,actor,producer","tt0061722,tt0065528,tt0069495,tt0058805"
nm0377958,O. Henry,1862,1910,"writer,archive_footage","tt0010929,tt0182704,tt0050045,tt2224317"
nm0378144,Jonathan Hensleigh,1959,\N,"writer,director,producer","tt0120591,tt3758814,tt0330793,tt0120053"
nm0378240,Robby Henson,\N,\N,"director,writer,editor","tt0286493,tt9815554,tt0144649,tt0114122"
nm0378267,Steven Hentges,1971,\N,"producer,director,writer","tt0244248,tt0110950,tt0120425,tt0202410"
nm0378431,Heinz Herald,1890,1964,"writer,director","tt0029146,tt0032413,tt0037749,tt0825756"
nm0378525,David Herbert,\N,\N,"producer,writer","tt0090750,tt0100287"
nm0378540,F. Hugh Herbert,1897,1958,"writer,miscellaneous,director","tt0046094,tt0040795,tt0045819,tt0040762"
nm0378562,James Herbert,1943,2013,"writer,archive_footage","tt9419056,tt0083144,tt0083801,tt0113089"
nm0378660,Michael Herbig,1968,\N,"actor,director,writer","tt0248408,tt0349047,tt1167599,tt0221733"
nm0378681,Hans Herbots,\N,\N,"director,producer,writer","tt7985576,tt33184638,tt5936448,tt3089778"
nm0378773,Geza Herczeg,1888,1954,"writer,soundtrack","tt0029146,tt0026007,tt18271150,tt0034175"
nm0378893,Stephen Herek,1958,\N,"producer,director,editorial_department","tt0090887,tt0096928,tt0113862,tt0108333"
nm0378960,Hergé,1907,1983,"writer,art_department,archive_footage","tt0983193,tt1037226,tt0055526,tt12214672"
nm0379056,Tim Herlihy,1966,\N,"writer,producer,actor","tt31868189,tt0120888,tt10682266,tt0112508"
nm0379150,Jean Herman,1933,2015,"writer,director,assistant_director","tt0164212,tt0082436,tt0062639,tt0065506"
nm0379179,Mark Herman,1954,\N,"writer,director,editor","tt0914798,tt0115744,tt0246875,tt0147004"
nm0379237,Charles Herman-Wurmfeld,1966,\N,"director,actor,producer","tt0264761,tt0333780,tt7378938,tt0814130"
nm0379387,Ingo Hermes,\N,\N,"writer,producer,sound_department","tt0068902,tt0067753,tt0062033,tt0082528"
nm0379391,Cirio H. Santiago,1936,2008,"director,producer,writer","tt0358279,tt0067100,tt0077666,tt0086381"
nm0379773,Felix Herngren,1967,\N,"writer,actor,director","tt2113681,tt1593584,tt7279180,tt4940370"
nm0379795,Gyula Hernádi,1926,2005,"writer,actor,music_department","tt0073948,tt0104657,tt0077514,tt0072241"
nm0379797,Tibor Hernádi,1951,2012,"animation_department,director,writer","tt1371083,tt0112545,tt0259308,tt0098426"
nm0379864,Alejandro Hernández,1970,\N,"writer,producer,actor","tt1718747,tt11270054,tt5451244,tt9616700"
nm0380282,Michael Herr,1940,2016,"writer,producer,script_department","tt0093058,tt0119978,tt0078788,tt0801820"
nm0380705,Rowdy Herrington,1951,\N,"writer,director,miscellaneous","tt23469812,tt0375104,tt0098206,tt0108238"
nm0380819,William Blake Herron,\N,\N,"writer,producer,director","tt0180242,tt0258463,tt0430922,tt1971459"
nm0380826,Dodine Herry,\N,\N,"writer,actress,director","tt0371068,tt0259370,tt0105684,tt0259291"
nm0380977,Patricia Herskovic,\N,\N,"producer,writer,miscellaneous","tt0103112,tt0101492,tt0082245,tt0107606"
nm0380980,Marshall Herskovitz,1952,\N,"producer,writer,director","tt0092492,tt0325710,tt0181865,tt0202198"
nm0381116,Don Hertzfeldt,1976,\N,"director,writer,animation_department","tt4171032,tt2078648,tt0096697,tt0234588"
nm0381230,Michael Herz,1949,\N,"producer,director,miscellaneous","tt0090190,tt0096310,tt0117609,tt0098502"
nm0381272,Jim Herzfeld,\N,\N,"producer,writer,miscellaneous","tt0212338,tt0290002,tt0096566,tt0111941"
nm0381273,John Herzfeld,1947,\N,"writer,director,actor","tt0119838,tt0115438,tt0179626,tt6772804"
nm0381328,Rudolph Herzog,1973,\N,"writer,director,producer","tt4665586,tt0438706,tt1794727,tt14960976"
nm0381416,Grant Heslov,1963,\N,"producer,actor,director","tt1024648,tt0433383,tt1124035,tt0112715"
nm0381450,David Hess,1936,2011,"actor,composer,music_department","tt0068833,tt3460252,tt0303816,tt0090788"
nm0381478,Jared Hess,1979,\N,"producer,director,writer","tt0374900,tt1161418,tt3566834,tt0457510"
nm0381489,Jon Hess,\N,\N,"director,producer,editor","tt0096425,tt0120586,tt0095503,tt3356568"
nm0381529,Thomas Hess,\N,\N,"writer,director,actor","tt12934800,tt0332018,tt6999052,tt1287839"
nm0381537,Will Hess,1972,\N,"producer,director,writer","tt1091863,tt3243342,tt3243452,tt8304920"
nm0381538,Wolfgang Hess,1937,2016,"actor,miscellaneous,sound_department","tt0038787,tt0087182,tt0034583,tt0034398"
nm0381568,Hermann Hesse,1877,1962,"writer,music_department,soundtrack","tt0079944,tt0274558,tt0070689,tt0359983"
nm0381638,Gordon Hessler,1925,2014,"producer,director,writer","tt0089835,tt0067457,tt0097435,tt0064949"
nm0381915,Dick van den Heuvel,1956,\N,"writer,director,actor","tt2472432,tt11336886,tt10144966,tt2287574"
nm0382054,Jon Hewitt,1959,\N,"writer,director,actor","tt0902952,tt0359353,tt0163178,tt0103841"
nm0382072,Peter Hewitt,1962,\N,"director,writer,producer","tt0283054,tt0101452,tt0215591,tt0356634"
nm0382110,David Hewlett,1968,\N,"actor,writer,director","tt8415836,tt7949218,tt5580390,tt0374455"
nm0382384,Louis M. Heyward,1920,2002,"producer,writer,production_manager","tt0058440,tt0061014,tt0059792,tt0059704"
nm0382437,Carl Hiaasen,1953,\N,"writer,producer,actor","tt0117765,tt15203646,tt0453494,tt36022476"
nm0382512,Stephen Hibbert,1960,2026,"writer,miscellaneous,actor","tt0110912,tt0145660,tt0312528,tt0465234"
nm0382529,Jesse Hibbs,1906,1985,"director,assistant_director,actor","tt0048729,tt0045490,tt0060018,tt0056757"
nm0382548,Winston Hibler,1910,1976,"writer,producer,director","tt0053285,tt0042332,tt0046183,tt0043274"
nm0382562,Robert Hichens,1864,1950,writer,"tt0039694,tt0027657,tt0018630,tt0039015"
nm0382584,George Hickenlooper,1963,2010,"director,writer,producer","tt0119001,tt0108181,tt0102015,tt1194417"
nm0382776,Anthony Hickox,1959,2023,"director,actor,writer","tt0096426,tt0104409,tt0119947,tt0810924"
nm0382779,Douglas Hickox,1929,1988,"assistant_director,director,archive_footage","tt0088816,tt0069273,tt0085692,tt0070791"
nm0382783,James D.R. Hickox,1965,\N,"director,editorial_department,actor","tt0091419,tt0093507,tt0103241,tt0990363"
nm0382913,Marshall Hicks,\N,\N,"producer,writer,actor","tt0888019,tt0186253,tt0320008,tt5670908"
nm0382925,Neill D. Hicks,\N,\N,writer,"tt0082338,tt0082379,tt0080842,tt0109647"
nm0382942,Roger Watkins,1948,2007,"director,writer,editor","tt0076295,tt0085367,tt0085938,tt0079290"
nm0382956,Scott Hicks,1953,\N,"director,writer,assistant_director","tt0117631,tt0098275,tt0120834,tt1327194"
nm0382985,Nicholas Hicks-Beach,\N,\N,"writer,producer,script_department","tt0088512,tt0118401,tt0294175,tt1166893"
nm0383025,Shin'ya Hidaka,\N,2002,"writer,script_department","tt0079312,tt0794297,tt0094100,tt0074691"
nm0383258,Keigo Higashino,1958,\N,writer,"tt15748830,tt5633600,tt9109794,tt6686358"
nm0383318,George Higgins,1917,2005,"actor,miscellaneous,writer","tt0054067,tt0058113,tt0057105,tt0044487"
nm0383370,David Higgins,\N,\N,"producer,writer","tt1772264,tt0424136,tt0208003,tt0421729"
nm0383389,George V. Higgins,1939,1999,writer,"tt1764234,tt0070077,tt0055708,tt0077082"
nm0383421,John C. Higgins,1908,1995,"writer,soundtrack","tt0040723,tt0064328,tt0037038,tt0047879"
nm0383428,Kenneth Higgins,1904,1973,writer,"tt0051137,tt0035389,tt0035939,tt0033323"
nm0383604,Patricia Highsmith,1921,1995,"writer,archive_footage","tt0134119,tt0044079,tt2180339,tt1976000"
nm0383605,Avi Nesher,1952,\N,"writer,director,producer","tt5787384,tt8510206,tt1655424,tt0374279"
nm0383688,Shinji Higuchi,1965,\N,"art_department,director,miscellaneous","tt4262980,tt10737918,tt0266697,tt0113142"
nm0383707,Aoi Hiiragi,1962,\N,writer,"tt0347618,tt0113824,tt21651570"
nm0384185,Debra Hill,1950,2005,"writer,producer,script_department","tt0116225,tt0077651,tt0080749,tt0082340"
nm0384227,Elizabeth Hill,1901,1978,writer,"tt0029995,tt0033686,tt0028352,tt0025610"
nm0384248,Ethel Hill,1898,1954,"writer,script_department","tt0024551,tt0167433,tt0026307,tt0126266"
nm0384314,Harry Hill,1964,\N,"writer,producer,actor","tt0352110,tt3013528,tt14185248,tt1804497"
nm0384335,Jack Hill,1933,\N,"writer,director,editor","tt0058606,tt0066830,tt0069897,tt0071517"
nm0384342,James Hill,1919,1994,"director,producer,writer","tt0057149,tt0053866,tt0078713,tt0064283"
nm0384398,John Hill,\N,\N,"producer,writer,director","tt0102744,tt0090466,tt0096684,tt0082507"
nm0384484,Lori Hill,\N,\N,"writer,actress,miscellaneous","tt0112960,tt0085454,tt0102351,tt0289976"
nm0384613,Robert Hill,\N,\N,"writer,producer","tt0057765,tt0055864,tt0048992,tt0044371"
nm0384702,Susan Hill,1942,\N,"writer,producer","tt2339741,tt1596365,tt10846772,tt0097614"
nm0384722,Tim Hill,1958,\N,"writer,producer,director","tt0206512,tt0101235,tt0345950,tt0455499"
nm0384751,Victoria Hill,1971,\N,"actress,producer,writer","tt6053438,tt0434541,tt15342244,tt9664108"
nm0384784,Wendy Hill-Tout,\N,\N,"producer,director,writer","tt12762096,tt15138772,tt7642500,tt12399056"
nm0384862,David Hillenbrand,1968,\N,"music_department,director,producer","tt0138797,tt2589362,tt0201844,tt0362511"
nm0384863,Scott Hillenbrand,1966,\N,"producer,writer,director","tt0138797,tt2589362,tt0201844,tt0362511"
nm0384864,Stephen Hillenburg,1961,2018,"writer,producer,animation_department","tt0206512,tt0345950,tt5774060,tt0106115"
nm0384965,Richard Hilliard,1928,2012,"director,producer,writer","tt0132287,tt0261411,tt0057434,tt0257116"
nm0385012,Katherine Hilliker,1885,1965,"writer,editor,editorial_department","tt0018455,tt0010323,tt0333730,tt0016641"
nm0385241,David Hilton,\N,\N,"writer,producer,director","tt0280969,tt0159603,tt36958533,tt0158723"
nm0385264,James Hilton,1900,1954,"writer,actor","tt0035093,tt0032484,tt0037316,tt0029087"
nm0385430,David Himmelstein,\N,\N,"writer,producer","tt0280486,tt0114852,tt0091786,tt0103036"
nm0385573,Anthony Hinds,1922,2013,"producer,writer,production_manager","tt0051554,tt0056277,tt0056347,tt0050280"
nm0385621,Phil Hiner,\N,\N,writer,tt0052888
nm0385725,Timothy Hines,1960,\N,"director,visual_effects,writer","tt27011815,tt8844062,tt3453052,tt2507628"
nm0385992,Jane Hinton,\N,\N,writer,"tt0039484,tt0021917,tt0025351,tt0026424"
nm0386023,S.E. Hinton,1948,\N,"writer,actress,miscellaneous","tt0086066,tt0086216,tt0096673,tt0084783"
nm0386100,S. William Hinzman,1936,2012,"actor,cinematographer,camera_department","tt0109809,tt0063350,tt0069895,tt0091462"
nm0386246,Rajkumar Hirani,1962,\N,"writer,editor,producer","tt2338151,tt0374887,tt1187043,tt6452574"
nm0386384,Hiroki Shibata,1960,\N,"director,animation_department,art_department","tt0109277,tt0112513,tt0189254,tt0295080"
nm0386570,Oliver Hirschbiegel,1957,\N,"director,producer,writer","tt0250258,tt0363163,tt1238291,tt0427392"
nm0386694,Michael Hirst,1952,\N,"writer,producer,script_department","tt2306299,tt0127536,tt0758790,tt0414055"
nm0386706,Leon Hirszman,1938,1987,"director,writer,producer","tt0082317,tt0185714,tt0322723,tt0061697"
nm0386750,Eijirô Hisaita,1898,1976,writer,"tt0057565,tt31194612,tt0038810,tt0054460"
nm0386900,Dolores Hitchens,1907,1973,writer,"tt0057869,tt0053546"
nm0386973,Carl K. Hittleman,1907,1999,"producer,writer,director","tt0058968,tt0319966,tt0049403,tt0050215"
nm0387025,Ken Hixon,\N,\N,"actor,writer,producer","tt0269095,tt1183923,tt0085970,tt0111108"
nm0387132,William Hjortsberg,1941,2017,writer,"tt0089469,tt0092563,tt0076820,tt1301234"
nm0387337,Leonard Ho,1925,1997,"miscellaneous,producer,production_manager","tt0127357,tt0117786,tt0113326,tt0089374"
nm0387428,Doane R. Hoag,1908,2008,writer,"tt0045652,tt0041038,tt0052888,tt0439465"
nm0387501,John Hoare,\N,\N,writer,tt0045073
nm0387605,Lyndall Hobbs,1952,\N,"director,producer,writer","tt0072562,tt4765758,tt0092608,tt5733218"
nm0387706,Gregory Hoblit,1944,\N,"producer,director,actor","tt0081873,tt0186151,tt0106079,tt0117381"
nm0387740,Laura Z. Hobson,1900,1986,writer,"tt0039416,tt0047076,tt0046587,tt0045449"
nm0387773,Danny Hoch,1970,\N,"actor,writer,director","tt0265086,tt1656190,tt0498399,tt0120863"
nm0387827,Rolf Hochhuth,1931,2020,writer,"tt0273461,tt0280653,tt0085843,tt0088465"
nm0387890,Jonathan Hock,1964,\N,"director,producer,writer","tt0457502,tt1408430,tt1362435,tt1754300"
nm0388076,John Hodge,1964,\N,"writer,producer,actor","tt0117951,tt2763304,tt0111149,tt0163978"
nm0388198,Mike Hodges,1932,2022,"director,producer,writer","tt0080745,tt0099143,tt0067128,tt0072267"
nm0388233,Eric Hodgins,1899,1971,writer,"tt0040613,tt0046645,tt0158413"
nm0388273,Joel Hodgson,1960,\N,"writer,music_department,actor","tt0094517,tt6782014,tt0298457,tt0365523"
nm0388349,J.L. Hodson,1891,1956,writer,"tt0029712,tt0050450,tt0045172,tt0058263"
nm0388502,Hans Hoemburg,\N,\N,writer,tt0084865
nm0388554,Arthur Hoerl,1891,1968,"writer,script_department,director","tt0021948,tt0022637,tt0132948,tt0023791"
nm0388629,Michael A. Hoey,1934,2014,"producer,director,editor","tt0083412,tt0060741,tt22482352,tt0063643"
nm0388743,Monckton Hoffe,1880,1951,"writer,actor","tt0033804,tt0024260,tt0025973,tt0029160"
nm0388755,Samuel Hoffenstein,1890,1947,writer,"tt0037008,tt0022835,tt0036261,tt0035415"
nm0388805,Alice Hoffman,1952,\N,"writer,producer","tt0120791,tt0429591,tt0085724,tt32588798"
nm0388817,Antony Hoffman,\N,\N,"director,writer,producer","tt0199753,tt3577692,tt4612436,tt2217999"
nm0388913,Herman Hoffman,1909,1989,"director,writer,producer","tt0047849,tt0051311,tt0131178,tt0052522"
nm0388956,Jerzy Hoffman,1932,\N,"director,writer,producer","tt0128378,tt0380726,tt0072021,tt0059834"
nm0388971,John Hoffman,\N,\N,"producer,actor,writer","tt11691774,tt3609352,tt2581458,tt0326900"
nm0389176,Gert Günther Hoffmann,1929,1997,"actor,miscellaneous,writer","tt1877832,tt0087182,tt0043265,tt0073195"
nm0389514,David Hogan,1948,\N,"director,writer,assistant_director","tt0115624,tt0103644,tt0112462,tt0813384"
nm0389591,P.J. Hogan,1962,\N,"writer,director,assistant_director","tt0110598,tt2910904,tt0316396,tt0119738"
nm0389821,Frank Hohimer,1923,2005,writer,tt0083190
nm0389830,Brian Hohlfeld,1957,\N,"writer,producer,miscellaneous","tt0805905,tt2139371,tt8068852,tt0102011"
nm0389876,Christian Hohoff,\N,2005,"production_manager,producer,writer","tt0071141,tt0076748,tt0072976,tt0164136"
nm0389921,Hideji Hôjô,1902,1996,writer,"tt0047444,tt5111914,tt0204427,tt0049410"
nm0390141,David Nicholls,1966,\N,"writer,producer,actor","tt0477095,tt2935476,tt6586318,tt1563738"
nm0390290,Carlton Holder,\N,\N,"stunts,writer,director","tt0117218,tt0094898,tt0100029,tt0194722"
nm0390357,Elisabeth Sanxay Holding,1889,1955,writer,"tt0250323,tt0041037,tt0026137,tt0041786"
nm0390511,Carole Holliday,\N,\N,"animation_department,art_department,actress","tt1310677,tt0120855,tt0097757,tt0113198"
nm0390537,Kees Holierhoek,1941,2023,writer,"tt0076734,tt0383798,tt0086647,tt0285798"
nm0390547,Raphael Holinshed,1529,1580,writer,tt0059012
nm0390586,Felix Hollaender,1867,1931,writer,"tt0016481,tt14845684,tt0010815,tt0346052"
nm0390822,Savage Steve Holland,1960,\N,"animation_department,director,writer","tt0088794,tt0092412,tt9098432,tt0172052"
nm0390844,Todd Holland,1961,\N,"director,producer,writer","tt0212671,tt23026954,tt0103466,tt0098663"
nm0390929,Alan Holleb,1945,\N,"director,writer","tt0071274,tt0089974,tt2275511"
nm0391047,Don Holliday,\N,\N,writer,tt0069005
nm0391344,Matt Holloway,\N,\N,"writer,production_department,producer","tt3371366,tt8790086,tt0371746,tt2283336"
nm0391502,Hannes Holm,1962,\N,"writer,director,actor","tt4080728,tt0118554,tt0297234,tt7405458"
nm0391739,Alex Holmes,\N,\N,"producer,director,writer","tt8879946,tt0936453,tt0400391,tt6495880"
nm0391750,Ben Holmes,1890,1943,"director,writer,actor","tt0025395,tt0029654,tt0030262,tt0027609"
nm0392237,Nicole Holofcener,1960,\N,"director,writer,producer","tt2390361,tt0436331,tt4595882,tt4244994"
nm0392288,Karen van Holst Pellekaan,1955,\N,"writer,actress,editorial_department","tt1800372,tt0190190,tt2512170,tt1607877"
nm0392350,Michael W. Horsten,1963,\N,"writer,director,script_department","tt0826760,tt0402340,tt0240111,tt0447819"
nm0392519,Seth Holt,1923,1971,"director,editorial_department,editor","tt0048281,tt0053496,tt0052013,tt0062860"
nm0392668,Stefan Holtz,1973,\N,"writer,director,camera_department","tt6402468,tt0496325,tt13884528,tt0135790"
nm0392955,Homer,850,800,"writer,miscellaneous","tt0332452,tt0190590,tt33764258,tt35148005"
nm0393094,Ishirô Honda,1911,1993,"director,writer,assistant_director","tt0047034,tt0120685,tt0089881,tt0056142"
nm0393212,Elliott Hong,\N,\N,"director,writer,producer","tt0084786,tt0086186,tt0804526,tt2231413"
nm0393250,Kuang Ni,1935,2022,"writer,actor,script_department","tt0324518,tt0078243,tt0066587,tt5901632"
nm0393289,Akiyoshi Hongo,\N,\N,"writer,animation_department","tt0316975,tt4307880,tt3291680,tt37499375"
nm0393297,Hung Hung,1964,\N,"actor,writer,producer","tt0357092,tt0210268,tt0364364,tt0101985"
nm0393394,Christophe Honoré,1970,\N,"writer,director,actor","tt0996605,tt7534054,tt1263778,tt32086069"
nm0393445,Brendan Hood,\N,\N,"writer,producer","tt0810823,tt0283632,tt0186019"
nm0393495,Kevin Hood,\N,\N,"writer,producer","tt1289403,tt0416508,tt1837562,tt0202190"
nm0393517,Sean Hood,1966,\N,"writer,art_department,producer","tt0816462,tt1043726,tt1282067,tt0285492"
nm0393645,Richard Hooker,1924,1997,writer,"tt0066026,tt0068098,tt1706457"
nm0393655,Brian Hooks,1973,\N,"actor,producer,director","tt0770752,tt0145660,tt0118798,tt0462160"
nm0393661,Kevin Hooks,1958,\N,"director,producer,actor","tt0093260,tt2172103,tt0105104,tt0455275"
nm0393678,Lance Hool,1948,\N,"producer,actor,director","tt5616176,tt0328107,tt0087727,tt0116322"
nm0393799,Tom Hooper,1972,\N,"director,producer,writer","tt5697572,tt0810819,tt1707386,tt1504320"
nm0393822,Johan Horemans,\N,\N,"editor,writer","tt8829128,tt1517482,tt1703578,tt0264447"
nm0393949,Anthony Hope,1863,1933,writer,"tt1073122,tt0029442,tt0014424,tt0013515"
nm0393988,Harry Hope,1926,1988,"producer,director,writer","tt0202896,tt0077408,tt0061592,tt0082331"
nm0394014,Lincoln Hoppe,1971,\N,"actor,writer,producer","tt7161862,tt13820428,tt3514324,tt2082415"
nm0394024,Matthew Hope,\N,\N,"writer,director,assistant_director","tt32124219,tt0977669,tt6012244,tt1653700"
nm0394114,Ben Hopkins,1969,\N,"writer,director,sound_department","tt0235618,tt1286165,tt0161977,tt0496218"
nm0394199,Joel Hopkins,1970,\N,"director,writer,editor","tt0273300,tt1046947,tt2234261,tt5153236"
nm0394212,Karen Leigh Hopkins,\N,\N,"writer,producer,actress","tt0490084,tt0093894,tt3128900,tt0218727"
nm0394219,Kit Hopkins,\N,\N,"writer,producer","tt0116651,tt7125774,tt0270522,tt0120896"
nm0394233,Mark N. Hopkins,\N,\N,"director,producer,miscellaneous","tt1294182,tt0162661,tt0120633,tt0158983"
nm0394267,Robert E. Hopkins,1886,1966,"writer,miscellaneous,script_department","tt0028216,tt0029516,tt0020336,tt0022382"
nm0394328,Gerald Hopman,\N,\N,"producer,writer","tt0072869,tt0082346"
nm0394404,Hal Hopper,1912,1970,"music_department,actor,writer","tt0059474,tt0058301,tt0063592,tt0058267"
nm0394510,Peter Horak,\N,\N,"stunts,actor,director","tt0132347,tt0117218,tt0094602,tt0271668"
nm0394793,Andrew Horn,1952,2019,"miscellaneous,writer,producer","tt0402406,tt0218944,tt3538328,tt0094738"
nm0394944,Jeffrey Hornaday,1956,\N,"miscellaneous,director,actor","tt0088011,tt0088194,tt0098439,tt0099422"
nm0394975,Michael Hornburg,\N,\N,writer,"tt1772261,tt0125678"
nm0394984,Nick Hornby,1957,\N,"writer,producer,director","tt2305051,tt2381111,tt1174732,tt0276751"
nm0395023,James W. Horne,1881,1942,"director,writer,actor","tt0032557,tt0008935,tt0015053,tt0006097"
nm0395105,Harry Horner,1910,1994,"director,production_designer,producer","tt0054997,tt0041452,tt0065088,tt0046515"
nm0395170,Roy Horniman,1872,1930,writer,"tt0041546,tt0023787,tt0018754,tt0012132"
nm0395259,Adam Horovitz,1966,\N,"actor,composer,writer","tt1791682,tt10872600,tt0433035,tt0796366"
nm0395262,Israel Horovitz,1939,2020,"writer,actor,producer","tt2908856,tt0145503,tt0808399,tt0065895"
nm0395275,Anthony Horowitz,1955,\N,"writer,producer,director","tt0457495,tt0310455,tt13186264,tt12908464"
nm0395531,Silvio Horta,1974,2020,"producer,writer,actor","tt0805669,tt0146336,tt0242733,tt0367344"
nm0395645,Matthew Horton,1960,\N,"writer,producer","tt0478963,tt1114671,tt0120087"
nm0395741,Gillian Horvath,1966,\N,"producer,writer,miscellaneous","tt2193041,tt0144964,tt2295953,tt0959086"
nm0395830,Deana Horváthová,1958,\N,"actress,producer,writer","tt0239102,tt0119771,tt0469640,tt0807769"
nm0395961,Seiji Hoshikawa,1921,2008,"writer,script_department","tt0123028,tt0057715,tt0344162,tt0054350"
nm0396074,Mamoru Hosoda,1967,\N,"director,art_department,animation_department","tt1474276,tt2140203,tt0808506,tt4272866"
nm0396284,Hsiao-Hsien Hou,1947,\N,"producer,writer,director","tt3508840,tt0459666,tt0087164,tt0283283"
nm0396421,John Hough,1941,\N,"assistant_director,director,producer","tt1427298,tt0070294,tt0054518,tt0090729"
nm0396697,Ronald E. House,1939,2016,"actor,writer,miscellaneous","tt0082340,tt0085279,tt0083530,tt2391166"
nm0396716,Geoffrey Household,1900,1988,writer,"tt5930900,tt0033873,tt0044442,tt0046307"
nm0396754,Lionel Houser,1908,1949,"writer,producer","tt0030760,tt0042314,tt0037595,tt0031311"
nm0396812,Danny Huston,1962,\N,"actor,director,camera_department","tt0387131,tt0315733,tt0338751,tt0458525"
nm0396867,Marques Houston,1981,\N,"actor,producer,writer","tt0365957,tt0396592,tt0108927,tt0329101"
nm0397022,Sonya Levien,1888,1960,"writer,script_department","tt0048210,tt0048445,tt0043599,tt0024610"
nm0397170,Bruce Howard,1925,2012,"writer,miscellaneous,script_department","tt0056142,tt0078607,tt0043224,tt0070991"
nm0397174,Byron Howard,1968,\N,"director,animation_department,producer","tt2948356,tt2953050,tt0398286,tt26443597"
nm0397232,David Howard,\N,\N,"writer,producer","tt0177789,tt7751192,tt4624606,tt2570364"
nm0397271,Eldon Howard,\N,\N,writer,"tt0056565,tt0052863,tt0055941,tt0053920"
nm0397377,Jeffrey M. Howard,\N,\N,"writer,producer,production_department","tt8041658,tt0116225,tt1817232,tt1691917"
nm0397411,Paul Rudnick,1957,\N,"writer,producer,script_department","tt0106220,tt0119360,tt0327162,tt0105417"
nm0397555,Rance Howard,1928,2017,"actor,writer,producer","tt1821549,tt0841046,tt0105698,tt0122718"
nm0397565,Richard Howard,\N,\N,"director,archive_footage",tt0137799
nm0397574,Robert E. Howard,1906,1936,writer,"tt0089893,tt0970452,tt0082198,tt0087078"
nm0397590,Sandy Howard,1927,2008,"producer,director,writer","tt0142046,tt0062076,tt0066049,tt0084861"
nm0397608,Sidney Howard,1891,1939,"writer,archive_footage","tt0031381,tt0027532,tt0021622,tt0021281"
nm0397822,George Howe,1898,1977,writer,tt0043459
nm0397834,J.A. Howe,1889,1962,"director,writer,actor","tt1175257,tt0451317,tt1175638,tt0321142"
nm0397875,Matthew M. Howe,1972,\N,"cinematographer,writer,producer","tt0205722,tt0118569,tt0166298,tt3961964"
nm0397927,Annie J. Howell,\N,\N,"writer,producer,director","tt6862538,tt5030402,tt5432114,tt1746242"
nm0398174,Jana Howington,\N,\N,writer,"tt0119142,tt0449545,tt13071908"
nm0398185,Peter Howitt,1957,\N,"actor,director,writer","tt0120148,tt0417586,tt0274166,tt0218817"
nm0398518,Bohumil Hrabal,1914,1997,"writer,actor,archive_footage","tt0060802,tt0064994,tt3474176,tt0059581"
nm0398575,Jan Hrebejk,1967,\N,"director,writer,actor","tt0234288,tt0449303,tt0167331,tt0401488"
nm0398736,King Jieh-Wen,1956,\N,"actor,producer,writer","tt28772179,tt0117151,tt8925668,tt11015916"
nm0398871,David Wu,\N,\N,"editor,director,actor","tt0104684,tt0106342,tt1326972,tt1013119"
nm0399003,Jianxin Huang,1954,\N,"producer,director,writer","tt0913968,tt13462900,tt12624504,tt0487942"
nm0399065,Ying Wong,1956,1991,"writer,director,producer","tt0093554,tt0100973,tt0100109,tt3592050"
nm0399110,Jirí Hubac,1929,2011,"writer,script_department,miscellaneous","tt0286476,tt0111536,tt0113027,tt0218705"
nm0399196,L. Ron Hubbard,1911,1986,"writer,director,producer","tt0185183,tt0030725,tt0273669,tt0273515"
